sample,T,score,seq_recovery,pLDDT,type
T=0.7_42_wm,0.7,1.2124,0.4551,78.84507391213825,wm
T=0.7_43_wm,0.7,1.2771,0.4103,82.3589830157415,wm
T=0.7_44_wm,0.7,1.2928,0.4375,77.07351447012283,wm
T=0.7_45_wm,0.7,1.2669,0.4199,80.15669793621014,wm
T=0.7_46_wm,0.7,1.2436,0.4247,79.4780866873065,wm
T=0.7_47_wm,0.7,1.2241,0.4375,77.98115169122225,wm
T=0.7_48_wm,0.7,1.3127,0.4087,77.8748862925099,wm
T=0.7_49_wm,0.7,1.2164,0.4151,80.60153991200502,wm
T=0.7_50_wm,0.7,1.3074,0.4295,78.58082465639316,wm
T=0.3_1_original,0.3,0.8372,0.4952,81.12689511073965,original
T=0.3_2_original,0.3,0.8471,0.4647,82.96546038543897,original
T=0.3_3_original,0.3,0.8432,0.4728,81.71651549823174,original
T=0.3_4_original,0.3,0.84,0.4744,81.72208342200469,original
T=0.3_5_original,0.3,0.8415,0.5144,83.75595008389261,original
T=0.3_6_original,0.3,0.8525,0.4744,83.1315003112679,original
T=0.3_7_original,0.3,0.8337,0.4888,80.41948073701843,original
T=0.3_8_original,0.3,0.832,0.4872,81.61971927635683,original
T=0.3_9_original,0.3,0.8422,0.4984,80.56982341812066,original
T=0.3_10_original,0.3,0.8195,0.4744,81.91039207507819,original
T=0.3_11_original,0.3,0.8377,0.4744,83.76566737288135,original
T=0.3_12_original,0.3,0.8246,0.4968,82.03695192706175,original
T=0.3_13_original,0.3,0.8632,0.4744,81.28090040348269,original
T=0.3_14_original,0.3,0.8411,0.4744,81.09000844059928,original
T=0.3_15_original,0.3,0.812,0.4904,83.27184513651878,original
T=0.3_16_original,0.3,0.8434,0.4872,81.31873735244518,original
T=0.3_17_original,0.3,0.8228,0.4872,83.0109960075646,original
T=0.3_18_original,0.3,0.8214,0.4776,80.79685563751318,original
T=0.3_19_original,0.3,0.8527,0.5,81.72323200992555,original
T=0.3_20_original,0.3,0.8335,0.4936,81.45755182421227,original
T=0.3_21_original,0.3,0.8354,0.4952,82.33144858850196,original
T=0.3_22_original,0.3,0.851,0.4776,81.64755016722408,original
T=0.3_23_original,0.3,0.8337,0.4888,81.48999793089178,original
T=0.3_24_original,0.3,0.8093,0.508,80.46570402298852,original
T=0.3_25_original,0.3,0.8543,0.484,82.39576582148011,original
T=0.3_26_original,0.3,0.8629,0.4904,81.98082948341033,original
T=0.3_27_original,0.3,0.8476,0.4728,81.69081701410823,original
T=0.3_28_original,0.3,0.8296,0.4968,81.18928480744815,original
T=0.3_29_original,0.3,0.8305,0.492,81.59189748953975,original
T=0.3_30_original,0.3,0.836,0.4872,80.77071516393443,original
T=0.3_31_original,0.3,0.8483,0.4872,82.40362148552246,original
T=0.3_32_original,0.3,0.8364,0.476,81.43413191489363,original
T=0.3_33_original,0.3,0.8327,0.4872,81.90019783024887,original
T=0.3_34_original,0.3,0.8449,0.4808,81.43496499176275,original
T=0.3_35_original,0.3,0.8535,0.4968,80.1234052808047,original
T=0.3_36_original,0.3,0.8455,0.4712,81.01238934340256,original
T=0.3_37_original,0.3,0.8293,0.4728,80.96201858108108,original
T=0.3_38_original,0.3,0.8542,0.4888,83.24449947753396,original
T=0.3_39_original,0.3,0.8495,0.4808,80.06713728709215,original
T=0.3_40_original,0.3,0.8405,0.4952,81.6505523255814,original
T=0.3_41_original,0.3,0.8179,0.5048,80.59152499472685,original
T=0.3_42_original,0.3,0.8448,0.4712,81.85471213086892,original
T=0.3_43_original,0.3,0.8501,0.4936,82.35733865881858,original
T=0.3_44_original,0.3,0.8556,0.4696,82.32482910463409,original
T=0.3_45_original,0.3,0.8299,0.4728,81.19494637223974,original
T=0.3_46_original,0.3,0.8418,0.4567,81.33135983690111,original
T=0.3_47_original,0.3,0.8473,0.4792,82.18448369565216,original
T=0.3_48_original,0.3,0.8446,0.4792,78.63491546391752,original
T=0.3_49_original,0.3,0.8098,0.4984,82.67307045215563,original
T=0.3_50_original,0.3,0.8399,0.4728,81.68649641198817,original
T=0.3_1_wm,0.3,0.8183,0.4888,80.05339383706205,wm
T=0.3_2_wm,0.3,0.8288,0.4696,82.91318704729441,wm
T=0.3_3_wm,0.3,0.8528,0.4792,81.06680049413217,wm
T=0.3_4_wm,0.3,0.8224,0.4679,82.6686337518621,wm
T=0.3_5_wm,0.3,0.8186,0.5016,79.82824539623422,wm
T=0.3_6_wm,0.3,0.8551,0.4856,81.81951077943616,wm
T=0.3_7_wm,0.3,0.8357,0.4888,81.31619703610937,wm
T=0.3_8_wm,0.3,0.8435,0.4968,80.91551945364239,wm
T=0.3_9_wm,0.3,0.8465,0.4872,82.36264656616416,wm
T=0.3_10_wm,0.3,0.8309,0.4856,81.30448397836038,wm
T=0.3_11_wm,0.3,0.8606,0.4663,81.83167632450332,wm
T=0.3_12_wm,0.3,0.8292,0.4792,81.50290700061589,wm
T=0.3_13_wm,0.3,0.8467,0.4856,82.06860123483074,wm
T=0.3_14_wm,0.3,0.8417,0.4824,81.74954217888936,wm
T=0.3_15_wm,0.3,0.8398,0.4904,83.24273397976391,wm
T=0.3_16_wm,0.3,0.8343,0.4856,81.94144297416508,wm
T=0.3_17_wm,0.3,0.8189,0.5032,82.92184905660376,wm
T=0.3_18_wm,0.3,0.846,0.4904,81.01152662229617,wm
T=0.3_19_wm,0.3,0.8361,0.5032,81.13976102183766,wm
T=0.3_20_wm,0.3,0.8301,0.508,81.92168273260688,wm
T=0.3_21_wm,0.3,0.843,0.484,81.25277284918505,wm
T=0.3_22_wm,0.3,0.8419,0.4808,81.12544896706893,wm
T=0.3_23_wm,0.3,0.8293,0.492,80.70783783783783,wm
T=0.3_24_wm,0.3,0.8317,0.5016,80.8610951599672,wm
T=0.3_25_wm,0.3,0.8592,0.484,82.17662919051513,wm
T=0.3_26_wm,0.3,0.8723,0.4952,82.80522057286223,wm
T=0.3_27_wm,0.3,0.8262,0.4856,82.32987429289754,wm
T=0.3_28_wm,0.3,0.8228,0.508,80.82125807123515,wm
T=0.3_29_wm,0.3,0.8278,0.4808,81.48607486407361,wm
T=0.3_30_wm,0.3,0.8339,0.4872,81.84008013149786,wm
T=0.3_31_wm,0.3,0.8406,0.4888,83.20721614802355,wm
T=0.3_32_wm,0.3,0.8459,0.4728,81.98523024926065,wm
T=0.3_33_wm,0.3,0.843,0.508,82.3819896049896,wm
T=0.3_34_wm,0.3,0.8458,0.4728,81.44393769470405,wm
T=0.3_35_wm,0.3,0.8473,0.4888,80.08350136525941,wm
T=0.3_36_wm,0.3,0.8514,0.4728,80.80372700668897,wm
T=0.3_37_wm,0.3,0.8566,0.4535,80.45980857261756,wm
T=0.3_38_wm,0.3,0.8466,0.4984,81.44067754077791,wm
T=0.3_39_wm,0.3,0.859,0.4776,80.08673293707727,wm
